portfolio_name,market,ablation,reference_strategy,cumulative_return,delta_cumulative_return,sharpe,delta_sharpe,information_ratio,delta_information_ratio,model_score,delta_model_score
tw_defensive_income_financials,tw,inverse_volatility,smart_policy_oos_guard,0.30432895306907715,-0.015536889579158109,1.1871159969302705,-0.0004416911725413364,-1.3585587876710765,0.0066947027966421935,59.3,0.5
tw_defensive_income_financials,tw,mean_variance,smart_policy_oos_guard,0.39021674069416035,0.07035089804592509,1.2555978567851487,0.06804016868233687,-1.1297014693308014,0.2355520211369173,59.2,0.4000000000000057
tw_defensive_income_financials,tw,raw_black_litterman,smart_policy_oos_guard,0.27707571518006446,-0.04279012746817079,1.0527811479442735,-0.13477654015853835,-1.4305771258177502,-0.0653236353500315,57.4,-1.3999999999999986
tw_defensive_income_financials,tw,smart_policy,smart_policy_oos_guard,0.28507681938416307,-0.03478902326407218,1.076626631910262,-0.11093105619254984,-1.419496377104341,-0.054242886636622245,57.5,-1.2999999999999972
tw_defensive_income_financials,tw,smart_policy_oos_guard,smart_policy_oos_guard,0.31986584264823525,0.0,1.1875576881028118,0.0,-1.3652534904677187,0.0,58.8,0.0
tw_electronics_supply_chain,tw,equal_weight,smart_policy_oos_guard,1.100282286173369,-0.12916223750030875,2.00799649692687,-0.13945914437225548,0.33719611436230673,-0.2236291251547779,68.5,-2.0
tw_electronics_supply_chain,tw,inverse_volatility,smart_policy_oos_guard,1.0907834970254076,-0.13866102664827018,1.9756882678519805,-0.1717673734471452,0.31133834498558377,-0.24948689453150086,67.7,-2.799999999999997
tw_electronics_supply_chain,tw,mean_variance,smart_policy_oos_guard,1.3423307033578507,0.11288617968417292,2.1828197199055537,0.035364078606427984,0.6204906681555895,0.05966542863850488,71.3,0.7999999999999972
tw_electronics_supply_chain,tw,raw_black_litterman,smart_policy_oos_guard,1.2268946422649036,-0.0025498814087741017,2.1448980898890233,-0.0025575514101023877,0.5571437250060983,-0.0036815145109863057,70.5,0.0
tw_electronics_supply_chain,tw,smart_policy,smart_policy_oos_guard,1.2294445236736777,0.0,2.1474556412991257,0.0,0.5608252395170846,0.0,70.5,0.0
tw_electronics_supply_chain,tw,smart_policy_oos_guard,smart_policy_oos_guard,1.2294445236736777,0.0,2.1474556412991257,0.0,0.5608252395170846,0.0,70.5,0.0
tw_index_factor_mix,tw,equal_weight,smart_policy_oos_guard,0.5488126932041555,-0.13868642647999074,5.196726815032772,-0.2388294268922344,-1.8978906195142486,-1.1975322642177217,68.8,-2.0
tw_index_factor_mix,tw,inverse_volatility,smart_policy_oos_guard,0.5182149929611972,-0.169284126722949,5.051140896734002,-0.3844153451910044,-2.0253942134229126,-1.3250358581263857,68.9,-1.8999999999999915
tw_index_factor_mix,tw,mean_variance,smart_policy_oos_guard,0.7526132572068007,0.06511413752265449,5.7955744114945755,0.3600181695695692,0.3204739914525223,1.0208323467490492,77.8,7.0
tw_index_factor_mix,tw,raw_black_litterman,smart_policy_oos_guard,0.7060104617098415,0.018511342025695265,5.524844312654804,0.08928807072979783,-0.4208592341511997,0.2794991211453272,71.9,1.1000000000000085
tw_index_factor_mix,tw,smart_policy,smart_policy_oos_guard,0.6874991196841462,0.0,5.435556241925006,0.0,-0.7003583552965269,0.0,70.8,0.0
tw_index_factor_mix,tw,smart_policy_oos_guard,smart_policy_oos_guard,0.6874991196841462,0.0,5.435556241925006,0.0,-0.7003583552965269,0.0,70.8,0.0
tw_semiconductor_platform_core,tw,equal_weight,smart_policy_oos_guard,0.9725836985409677,-0.018980060639818275,2.072773541338682,0.04530108117060738,0.05509575619925881,-0.06229378301248622,68.7,0.4000000000000057
tw_semiconductor_platform_core,tw,inverse_volatility,smart_policy_oos_guard,0.9037957858683794,-0.0877679733124066,1.999315500583116,-0.028156959584958674,-0.14146908168739727,-0.2588586208991423,66.5,-1.7999999999999972
tw_semiconductor_platform_core,tw,mean_variance,smart_policy_oos_guard,0.7355291634778349,-0.25603459570295106,1.4303220927553615,-0.5971503674127132,-0.5811083542155436,-0.6984978934272886,54.9,-13.399999999999999
tw_semiconductor_platform_core,tw,raw_black_litterman,smart_policy_oos_guard,0.944289225632805,-0.047274533547980946,1.8857442779323663,-0.14172818223570838,-0.022498097970865133,-0.13988763718261016,65.1,-3.200000000000003
tw_semiconductor_platform_core,tw,smart_policy,smart_policy_oos_guard,0.945819811614244,-0.04574394756654199,1.8886475063469679,-0.13882495382110682,-0.01815301178100208,-0.1355425509927471,65.2,-3.0999999999999943
tw_semiconductor_platform_core,tw,smart_policy_oos_guard,smart_policy_oos_guard,0.991563759180786,0.0,2.0274724601680747,0.0,0.11738953921174503,0.0,68.3,0.0
