date,horizon,portfolio_name,market,feature,feature_value,shap_value
2025-06-04,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.002806262975172437,-0.029506409540772438
2025-06-04,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.003203385700623005,-0.20745006203651428
2025-06-04,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.038904983550310135
2025-06-04,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.10695693641901016
2025-06-04,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006861974529938734,-0.0045013693161308765
2025-06-04,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.4567636652099626,-0.07136385887861252
2025-06-04,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,2.0022656187727157,-0.04776185378432274
2025-06-04,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.5955442396071077,-0.003430498531088233
2025-06-04,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.979454754246139,0.002067475812509656
2025-06-05,1,us_midcap_sector_zero_overlap,us,portfolio_return_1d,-0.0011890392724903235,-0.07729216665029526
2025-06-05,1,us_midcap_sector_zero_overlap,us,portfolio_return_5d,0.008337723711590169,-0.14678668975830078
2025-06-05,1,us_midcap_sector_zero_overlap,us,rolling_volatility_5d,0.006499239837065157,-0.07464717328548431
2025-06-05,1,us_midcap_sector_zero_overlap,us,rolling_volatility_20d,0.011419359314306515,0.05696045607328415
2025-06-05,1,us_midcap_sector_zero_overlap,us,rolling_volatility_60d,0.020691369139976035,-0.20815256237983704
2025-06-05,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_5d,0.0016675447423180338,-0.029290881007909775
2025-06-05,1,us_midcap_sector_zero_overlap,us,rolling_mean_return_20d,0.0028236455296789297,-0.20402792096138
2025-06-05,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_20d,-0.03081624103579783,-0.038806766271591187
2025-06-05,1,us_midcap_sector_zero_overlap,us,rolling_max_drawdown_60d,-0.21400301859518134,-0.11094802618026733
2025-06-05,1,us_midcap_sector_zero_overlap,us,downside_volatility_20d,0.006620022318307579,-0.007890721783041954
2025-06-05,1,us_midcap_sector_zero_overlap,us,skewness_20d,0.5613350316428368,-0.10022275149822235
2025-06-05,1,us_midcap_sector_zero_overlap,us,kurtosis_20d,2.059032436567542,-0.047942232340574265
2025-06-05,1,us_midcap_sector_zero_overlap,us,correlation_mean_20d,0.5979775683415725,-1.999747473746538e-05
2025-06-05,1,us_midcap_sector_zero_overlap,us,correlation_max_20d,0.9797607778955038,-0.000387609819881618
